Field,Qualifier,Areas,Rule
"CAK, CLE, CLE Sats",Arrivals,"1, 2, 4, 8",Aircraft must be assigned the BRWNZ arrival. Aircraft must not be cleared further direct than FRYYE. YQG sector may issue “descend via” clearance on contact.
"CAK, CLE, CLE Sats",Prop Arrivals,"1, 2, 4, 5, 8",Props on the BRWNZ arrival must be descended and handed off to D21 so as not to enter YQG sector airspace.
DTW,Arrivals,"1, 8","KDTW arrivals must enter Area 1 on the correct route for the known flow, descending at pilot’s discretion to 17,000 feet, or lowest available altitude. The LFD sector has control, on contact, for issuing the “descend via” clearance, speed adjustments, left turns up to 30°, and right turns up to direct HANBL."
DTW Satellites,Arrivals,"1, 8","Area 8 must deliver KDTW satellites to Area 1 on the PETTE STAR, descending to 14,000. LFD sector has control, on contact, for speed adjustments, left turns up to 30°, and right turns up to direct PETTE."
"DTW, DTW Sats",Jet Departures,"1, 2, 3, 4, 5, 7, 8","The first ZOB sector to work a D21 jet departure must delete or amend, via ATC clearance, any “SID assigned” speed restriction."
"DTW, DTW sats",Departures,1,All D21 departures routed over the CCOBB departure fix must be capped at or below FL220.
FNT,Arrivals,"1, 2, 4, 8","Except for those aircraft that will transit D21, KFNT arrivals west of VWV must be routed via HAZIT VHICL CITYE and handed off to the LFD sector. KFNT arrivals east of VWV must be routed via MARGN KFNT."
"GRR, BTL, AZO, SBN, BEH",Arrivals,"1, 2","GRR, BTL, AZO, SBN, or BEH arrivals must be descended to FL240 and handed off to Area 1."
MTC,Arrivals,1,"KMTC arrivals may be routed through D21 via RRALF or PETTE STARs, or they may be routed 'over the top' of D21. Aircraft taken 'over the top' must be pointed out to D21 for a lower altitude. Note: All high performance tactical aircraft (departures and arrivals) will be worked by FNT or DRE sectors."
ORD,Arrivals,"1, 2","HUD/LAK sectors relinquish control to ECK for turns and speed control on KORD arrivals established on or north of Q436, providing the aircraft remain on or north of Q436. All speed adjustments must be entered in the 4th line. ECK assumes responsibility for separation with aircraft established on or north of Q436, routed into Area 1."
AVP,Arrivals,"2, 7",KAVP arrivals must be routed DMACK LACIE KAVP and must not be routed past DMACK.
BUF,Arrivals,"2, 7",KBUF arrivals entering Area 7 must be at or below FL270.
CMH,Arrivals,"2, 4","KCMH arrivals must enter RAV sector AOB FL280, routed via APE."
DTW,Arrivals,2,KDTW arrivals descending to FL240 from HUD sector may be issued discretionary descents by DRE sector. HUD sector is responsible for advising DRE sector when discretionary descents cannot be approved.
DTW,Arrivals,"2, 3","KDTW arrivals must enter Area 2 on the correct route for the known flow, descending to FL300 or below. KDTW arrival aircraft must cross the sector boundary vertically separated under any conflicting traffic on Q436 and/or Q438/Q440."
DTW,Arrivals,"2, 7",KDTW arrivals must enter Area 2 on the correct route for the known flow.
DTW sats,Arrivals,"2, 4, 7",Any satellite arrival on the FOREY STAR that will enter YQG sector must be routed via NACCA.FOREY STAR.
"DTW, DTW sats",Departures,"2, 3, 7",Departures routed via JHW must remain on course until level at requested altitude.
"DTW, DTW sats",Departures via GRIVY,"2, 4",Area 4 has control for right turns AOA FL220. Area 4 is responsible for any resulting coordination.
"DTW, DTW sats",Departures via ESSBE,"2, 4, 5",Area 4 is responsible for pointouts to Area 5 on D21.
"DTW, DTW sats",Departures via HHOWE,"2, 7",Area 2 must ensure that KDTW and KDTW satellites departures requesting AOA FL280 via the HHOWE SID are issued the LNCON transition.
ERI,Arrivals,"2, 7","KERI arrivals are descended to 11,000 feet and handed off to DKK sector."
EWR,Arrivals,"2, 4, 5, 7",KEWR arrivals must be routed via SLT FQM STAR. KEWR arrivals enter Area 7 routed via J584 SLT or Q29 DORET J584 SLT or EWC050 J584 SLT (PIT depts. only) with SLT being the furthest direct routing allowed. KEWR arrivals should not be cleared direct SLT if the new route will take the aircraft south of YNG VORTAC.
FWA,Arrivals,"2, 8",KFWA arrivals must not be handed off to the SKY sector.
JFK,Jet Arrivals,"2, 4, 5, 7","KJFK arrivals must be routed via HOXIE LVZ LENDY STAR. KJFK arrivals enter WRN, JHW, DKK or BFD sectors routed via J70 J554 Q29, or J584 J190 J70 (PIT Deps only). KJFK arrivals are also commonly routed direct HOXIE."
"JFK, FRG, TEB, MMU, CDW",Arrivals,"2, 7","Area 2 relinquishes control to Area 7 for right turns up to direct STENT on KJFK, KFRG, KTEB, KMMU and KCDW arrivals, at or above FL240 and within 20 nm of the common area boundary."
LAN,Arrivals,"2, 4, 8",KLAN arrivals from high altitude sectors must enter Area 2 at or below FL260 descending to FL240.
LUK,Arrivals,"2, 4, 8",KLUK arrivals via the MBL/BFT/SKY/PAN sectors must be routed via ROD HEDEE STAR and cross the Area 2/4 boundary AOB FL330. Area 4 must descend the aircraft to cross 75NM north of ROD @ FL310.
MDT,Arrivals,"2, 4, 5","KMDT arrivals departing KDTW must be restricted to at or below FL310. Other KMDT arrivals must enter Area 5 at or below FL350, and traffic permitting, descending to FL330. KMDT arrivals must not be given direct routing east of REC."
MDW,Arrivals,"2, 4",MDW arrivals from ZYZ must not be cleared direct further west than MAYZE.
PIT,Arrivals,"2, 4, 8",DET sector is required to initiate spacing to KPIT and ensure all aircraft are routed via TAMDE ACO and descending to FL310.
"PWK, ARR, DPA, UGN, ENW, RAC",Arrivals,"2, 4",Arrivals routed direct PMM/SMUUV must cross the Area 2/4 common boundary AOB FL320. Arrivals routed via: ALPHE PMM/SMUUV or WODDS FRSST PMM/SMUUV are not restricted.
ROC,Arrivals,"2, 3, 7",KROC arrivals from Area 2 north of the DSV/WRN sector boundary must cross the Area 2 eastern boundary AOB FL270. KROC arrivals from Area 2 south of the DSV/WRN sector boundary must cross the Area 2 eastern boundary AOB FL290 descending to FL280.
SYR,Arrivals,"2, 3",KSYR arrivals must enter Area 3 at or below FL350.
TOL,Arrivals,"2, 3, 4, 7, 8","KTOL arrivals are routed via MOONN KTOL or DJB KTOL. If the MOONN route is used, KTOL arrivals must be handed off to MTC RAPCON. Alternately, CYYZ to KTOL flights may be routed via DJB KTOL (at or below FL220)."
"YXU, YHM",Arrivals,"2, 4","CYXU and CYHM arrivals, entering Area 2 east of J43, must be AOB FL290."
"YYZ, YKZ, YKF",Arrivals,"2, 4","CYYZ, CYKZ, and CYKF arrivals, entering Area 2 east of J43, must be AOB FL330."
CLE Satellites,Arrivals,"3, 7",RNAV arrivals from NE of JHW must cross the common boundary AOB FL340 and be routed JOSSY THOME TRYBE STAR or CLERI direct destination.
BUF,Departures,"3, 7",Southbound departures into the BFD Sector are routed BUF VAIRS.
BUF,Departures,"3, 7",Departures into the DKK sector are routed BUF JHW (for aircraft proceeding south and southwest) and BUF GGUCE (for aircraft proceeding west).
CLE,Arrivals,"3, 7",KCLE RNAV arrivals from NE of JHW must cross the common boundary AOB FL340 and be routed via THOME TRYBE STAR.
"DTW, DTW Satellites",Departures,"2, 3, 7",Departures routed via JHW must remain on course until level at requested altitude.
MDW,Arrivals,"3, 4, 7",KMDW arrivals are routed DJB J60 GSH GSH STAR or DJB J60 ASHEN BAGEL PANGG STAR with NAPOL being the furthest “direct” routing allowed.
PIT,Arrivals,"3, 7",KPIT arrivals from Area 3 enter Area 7 at or below FL340.
ROC,Departures,"3, 7",KROC departures routed GEE BURST are climbed to FL270 or their requested lower altitude. KROC departures must not be issued direct PSB unless verbally coordinated with Area 7.
SYR,Arrivals,"3, 7",KSYR arrivals west of JHW must cross the Area 3 boundary at or below FL330. KSYR arrivals east of JHW shall be descending to FL280 and handed off to DSV sector.
YYZ,Arrivals,"3, 5, 7","CYYZ Arrivals via OXMAN are restricted to at or below FL340 from Area 5. CYYZ arrivals via WOZEE must enter Area 3 at or below FL340, descending to FL320, and are restricted to at or below FL360 from Area 5."
ABE,Arrivals,"4, 5",KABE arrivals departing KDTW and KDTW satellites must enter BKI sector at or below FL310.
BUF,Arrivals,"4, 7","If not already at a lower altitude, KBUF arrivals must be descending to FL280."
